Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4",0603,4,10uF,
"C10, C11, C22, C24, C25, C27, C29, C30, C31, C32, C33, C36, C37, C38, C40, C41, C42, C44, C46, C5, C6, C8, C9",0402,23,100nF,
C12,0402,1,6.8pF,
"C13, C16, C19",0402,3,10uF,
"C14, C15, C17, C18",0603,4,22uF,
"C20, C21",0402,2,15pF,
"C23, C7",0402,2,4.7uF,
"C26, C28, C45",0402,3,2.2uF,
"C34, C35",0603,2,47uF,
C43,0402,1,10nF,
"D1, D2, D3",D_SOD-323,3,LESD3Z5.0CMT1G,
D4,0402,1,Red,
D5,0402,1,Yellow,
D6,0402,1,Blue,
D7,D_SOD-123F,1,K24,
"IC1, IC2",MP9943GQZ,2,MP9943GQ-Z,
IC3,IIM42352,1,ICM-42688-P,
IC4,SON127P800X600X80-9N-D,1,W25Q256JVEIQ,
J1,JST_SM04B-SRSS-TB(LF)(SN),1,SBUS,
"J10, J11, J12, J13, J14, J15, J16, J17, J18, J19, J20, J21, J22, J23, J24, J25, J26, J27, J28, J29, J30, J31, J32, J33, J34, J37, J38, J39, J40, J5, J6, J7, J8, J9",Test,34,Conn_01x01_Socket,
J2,JST_SM03B-SRSS-TB(LF)(SN),1,VTX,
J3,JST_SM03B-SRSS-TB(LF)(SN),1,Camera,
J35,NewSkyF7,1,~,
J36,SM10B-SRSS-TB,1,Conn_01x10_Socket,
J4,SH1.0mm_8P,1,Input,
"J41, J42",TestPoint_Pad_D1.0mm,2,Conn_01x01_Socket,
L1,L_Murata_DFE201610P,1,2.2uH,
"L2, L3",L_Sunlord_MWSA0402S,2,L,
"R1, R2, R3, R33, R4, R6",0402,6,100K,
"R10, R24, R25, R8",0402,4,22R,
R11,0402,1,3K,
R12,0402,1,7.68K,
"R13, R14",0402,2,41.2K,
"R15, R18, R19, R29, R30, R34, R35",0402,7,10K,
"R16, R20, R21, R26",0402,4,1K,
R17,0402,1,3.3K,
"R22, R23",0402,2,5.1K,
"R27, R28",0402,2,75R,
"R31, R32",0402,2,[N/S],
R5,0402,1,442K,
"R7, R9",0402,2,51K,
"RN1, RN2",R_Array_Concave_4x0402,2,22R,
SW1,2x4_side,1,BOOT0,
U1,SOT-23-5,1,TLV62569DBV,
U2,TFBGA-100_8x8mm_Layout10x10_P0.8mm,1,STM32F745VGH6,
U4,Typc-C-16P,1,USB_C_16P,
U5,SOP65P640X120-29N,1,AT7456E,
U6,XDCR_BMI270,1,BMI270,
U8,LGA-8_3x5mm_P1.25mm,1,MS5611-01BA,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,25M,
Y2,Crystal_SMD_2520-4Pin_2.5x2.0mm,1,27M,
