Designator,Mid X,Mid Y,Rotation,Layer
C1,126.12,-75.0,270.0,bottom
C10,132.08,-76.38,0.0,bottom
C11,109.16,-76.39,90.0,bottom
C12,102.61,-86.71,90.0,top
C13,108.02,-93.4975,0.0,top
C14,133.62,-78.36,270.0,bottom
C15,103.84,-81.8,180.0,bottom
C16,105.82,-93.5175,180.0,top
C17,133.62,-81.33,90.0,bottom
C18,106.805,-81.8,0.0,bottom
C19,105.82,-92.5825,180.0,top
C2,111.52,-70.41,180.0,bottom
C20,118.23,-87.53,0.0,top
C21,116.41,-87.53,180.0,top
C22,120.5,-87.51,0.0,top
C23,118.65,-83.08,0.0,bottom
C24,118.65,-82.16,0.0,bottom
C25,120.75,-80.79,180.0,bottom
C26,119.4,-79.82,180.0,bottom
C27,117.64,-84.65,0.0,bottom
C28,117.57,-79.82,0.0,bottom
C29,118.65,-81.24,0.0,bottom
C3,127.58,-74.995,270.0,bottom
C30,122.55,-85.41,0.0,bottom
C31,120.73,-85.41,0.0,bottom
C32,131.17,-69.23,180.0,top
C33,131.6,-83.95,0.0,bottom
C34,132.36,-91.93,90.0,top
C35,130.9,-91.93,90.0,top
C36,130.41,-87.76,0.0,bottom
C37,123.8,-91.59,270.0,top
C38,128.44,-87.76,0.0,bottom
C4,111.52,-71.87,180.0,bottom
C40,124.5,-74.16,270.0,bottom
C41,109.34,-88.0525,270.0,top
C42,109.35,-89.88,90.0,top
C43,108.94,-82.73,90.0,top
C44,110.32,-85.15,0.0,top
C45,108.94,-84.55,270.0,top
C46,123.58,-74.16,90.0,bottom
C5,128.77,-74.435,270.0,bottom
C6,112.03,-73.06,180.0,bottom
C7,106.26,-84.76,0.0,top
C8,134.9525,-73.01,180.0,bottom
C9,111.96,-78.82,270.0,bottom
D1,135.32,-80.6325,270.0,bottom
D2,105.6725,-83.49,180.0,bottom
D3,107.9,-91.04,270.0,top
D4,135.6075,-89.49,0.0,top
D5,135.6075,-86.15,0.0,top
D6,135.6075,-87.82,0.0,top
D7,105.15,-82.36,0.0,top
IC1,131.19,-74.255,0.0,bottom
IC2,111.285,-75.52,90.0,bottom
IC3,111.01,-82.73,270.0,top
IC4,132.515,-74.33,90.0,top
J1,110.53,-94.07,0.0,bottom
J10,119.93222,-97.99,90.0,top
J11,120.31111,-64.71,90.0,top
J12,117.988888,-64.71,90.0,top
J13,115.666666,-64.71,90.0,top
J14,113.344444,-64.71,90.0,top
J15,129.6,-64.71,90.0,top
J16,127.277776,-64.71,90.0,top
J17,124.955554,-64.71,90.0,top
J18,122.633332,-64.71,90.0,top
J19,127.385552,-97.99,90.0,top
J2,127.61,-94.07,0.0,bottom
J20,107.52,-95.06,90.0,top
J21,122.416664,-97.99,90.0,top
J22,109.992857,-95.06,90.0,top
J23,112.478888,-97.99,90.0,top
J24,114.963332,-97.99,90.0,top
J25,117.411428,-95.06,90.0,top
J26,119.884285,-95.06,90.0,top
J27,124.901108,-97.99,90.0,top
J28,117.447776,-97.99,90.0,top
J29,107.51,-97.99,90.0,top
J3,119.32,-94.07,0.0,bottom
J30,109.994444,-97.99,90.0,top
J31,112.465714,-95.06,90.0,top
J32,114.938571,-95.06,90.0,top
J33,111.022222,-64.69,270.0,top
J34,108.7,-64.69,270.0,top
J35,118.8,-81.11,0.0,top
J36,107.21,-67.713,180.0,bottom
J37,115.59,-67.99,90.0,top
J38,113.254,-67.99,90.0,top
J39,122.357142,-95.06,90.0,top
J4,125.58,-68.05675,180.0,bottom
J40,124.83,-95.06,90.0,top
J5,124.934,-67.99,90.0,top
J6,122.598,-67.99,90.0,top
J7,120.262,-67.99,90.0,top
J8,117.926,-67.99,90.0,top
J9,129.87,-97.99,90.0,top
L1,105.82,-90.8225,270.0,top
L2,130.51,-79.7,270.0,bottom
L3,105.84,-76.12,0.0,bottom
R1,130.1325,-72.14,180.0,bottom
R10,109.63,-77.95,0.0,bottom
R11,132.2125,-71.16,0.0,bottom
R12,114.34,-76.89,90.0,bottom
R13,134.0825,-71.16,180.0,bottom
R14,113.41,-78.75,270.0,bottom
R15,124.57,-81.16,0.0,bottom
R16,124.57,-80.22,180.0,bottom
R17,133.59,-89.48,0.0,bottom
R18,117.26,-81.59,90.0,bottom
R19,120.52,-88.44,180.0,top
R2,135.0525,-74.9,0.0,bottom
R20,133.6,-86.15,0.0,bottom
R21,133.59,-87.83,0.0,bottom
R22,109.87,-73.58,90.0,top
R23,109.87,-78.78,270.0,top
R24,111.28,-76.56,0.0,top
R25,111.28,-75.61,0.0,top
R26,126.6,-87.77,0.0,bottom
R27,129.24,-92.94,0.0,top
R28,122.86,-91.6,90.0,top
R29,122.695,-76.265,0.0,top
R3,113.41,-74.45,270.0,bottom
R30,124.555,-76.265,0.0,top
R31,120.84,-71.69,0.0,top
R32,120.83,-76.25,180.0,top
R33,134.9725,-73.95,180.0,bottom
R34,113.62,-89.82,180.0,bottom
R35,115.49,-89.82,180.0,bottom
R4,111.03,-78.84,90.0,bottom
R5,103.54,-86.85,90.0,top
R6,103.54,-84.99,90.0,top
R7,132.2225,-72.1,180.0,bottom
R8,133.64,-75.91,270.0,bottom
R9,113.4,-76.89,270.0,bottom
RN1,118.46,-73.84,90.0,bottom
RN2,121.47,-73.84,270.0,bottom
SW1,102.41,-90.92,90.0,top
U1,105.72,-87.32,90.0,top
U2,118.87,-82.04,90.0,top
U4,108.58,-76.12825,270.0,top
U5,129.06,-86.48,270.0,top
U6,111.32,-88.43,270.0,top
U8,122.9,-73.965,270.0,top
Y1,117.25,-89.69,0.0,top
Y2,130.63,-81.04,180.0,top
